,region,cant,d,f,s,Brf,CTst,CTmf,Ctwf,CTrf,WTd,WTds,WTtsc,WTdryf,WTmf,WTwf,Subd,Subds,Subtwl,Subdryf,Submf,Subwf,Subrf,Trd,Trds,Trtw,Trvdryf,Trdryf,Trmf
Brf,1,14,0,14,14,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTst,1,127,0,127,127,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTmf,1,14206,0,14206,14206,0,49,167,0,0,0,349,13641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctwf,1,3343,0,3343,3343,0,0,0,822,0,0,0,360,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTrf,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WTd,1,76,0,76,76,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
WTds,1,21849,0,21849,21849,0,0,0,0,4,1254,0,0,0,0,1981,18610,0,0,0,0,0,0,0,0,0,0,0,0
WTtsc,1,398868,0,398868,398868,0,0,0,0,0,11689,151629,0,0,0,0,37286,198264,0,0,0,0,0,0,0,0,0,0,0
WTdryf,1,274047,0,274047,274047,0,0,0,0,0,0,43631,148599,0,0,0,0,18837,62980,0,0,0,0,0,0,0,0,0,0
WTmf,1,66491,0,66491,66491,0,0,0,0,0,0,0,11922,33009,0,0,0,0,4945,16615,0,0,0,0,0,0,0,0,0
WTwf,1,130,0,130,130,0,0,0,0,0,0,0,0,0,54,0,0,0,0,7,69,0,0,0,0,0,0,0,0
Subd,1,75478,0,75478,75478,0,0,0,0,0,0,0,0,0,0,74943,0,0,0,0,0,0,535,0,0,0,0,0,0
Subds,1,160887,0,160887,160887,0,0,0,0,0,0,0,0,0,0,54385,102850,0,0,0,0,0,1272,2380,0,0,0,0,0
Subtwl,1,367281,0,367281,367281,0,0,0,0,0,0,0,0,0,0,0,74761,271557,0,0,0,0,0,566,20397,0,0,0,0
Subdryf,1,423327,0,423327,423327,0,0,0,0,0,0,0,1813,0,0,0,0,44317,263797,0,0,0,0,0,22112,91288,0,0,0
Submf,1,348744,0,348744,348744,0,0,0,0,0,0,0,841,1834,0,0,0,0,35655,239275,0,0,0,0,0,10707,60432,0,0
Subwf,1,54029,0,54029,54029,0,0,0,0,0,0,0,0,78,650,0,0,0,0,5311,30310,0,0,0,0,0,1784,15896,0
Subrf,1,108,0,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,9,81
Trd,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trds,1,9369,0,9369,9369,0,0,0,0,0,0,0,0,0,0,0,0,9350,0,0,0,0,0,0,19,0,0,0,0
Trtw,1,78216,0,78216,78216,0,0,0,0,0,0,0,0,0,0,0,0,4229,57897,0,0,0,0,0,172,15918,0,0,0
Trvdryf,1,146445,0,146445,146445,0,0,0,0,0,0,0,0,0,0,0,0,0,9654,108385,0,0,0,0,0,2781,25625,0,0
Trdryf,1,40318,0,40318,40318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,26793,0,0,0,0,0,0,12262,0
Trmf,1,311,0,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,111,0,0,0,0,0,1,134
