nombre,region,cant,dentro,fuera,salidas,1,2,3,4,5,6,7,8,9
jalisco,1,1930,930,1000,0,0,0,0,0,0,0,0,0,0
guadalajara,0,730,630,100,0,0,0,0,0,0,0,0,0,0
zapopan,0,1000,300,700,0,0,0,0,0,0,0,0,0,0
tonala,0,200,0,200,0,0,0,0,0,0,0,0,0,0
michoacan,1,2000,1500,500,2500,600,600,200,100,100,600,100,100,100
morelia,0,1600,1200,400,1600,500,500,100,0,100,400,0,0,0
uruapan,0,400,300,100,900,100,100,100,100,0,200,100,100,100
queretaro,1,250,200,50,200,40,40,40,40,40,0,0,0,0
queretaro,0,250,200,50,200,40,40,40,40,40,0,0,0,0
guanajuato,1,1345,700,645,95,10,11,11,11,11,11,0,0,30
guanajuato,0,300,150,150,0,0,0,0,0,0,0,0,0,0
leon,0,500,350,150,0,0,0,0,0,0,0,0,0,0
irapuato,0,545,200,345,95,10,11,11,11,11,11,0,0,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,
